event,pace,distance
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.7,21.1
Half,4.683333333,21.1
Half,4.7,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.733333333,21.1
Half,4.633333333,21.1
Half,4.716666667,21.1
Half,4.733333333,21.1
Half,4.7,21.1
Half,4.733333333,21.1
Half,4.75,21.1
Half,4.733333333,21.1
Half,4.75,21.1
Half,4.75,21.1
Half,4.75,21.1
Half,4.766666667,21.1
Half,4.766666667,21.1
Half,4.733333333,21.1
Half,4.766666667,21.1
Half,4.783333333,21.1
Half,4.75,21.1
Half,4.783333333,21.1
Half,4.783333333,21.1
Half,4.783333333,21.1
Half,4.816666667,21.1
Half,4.816666667,21.1
Half,4.783333333,21.1
Half,4.816666667,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.85,21.1
Half,4.85,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.9,21.1
Half,4.9,21.1
Half,4.9,21.1
Half,4.916666667,21.1
Half,4.9,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.916666667,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.916666667,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.966666667,21.1
Half,4.966666667,21.1
Half,4.95,21.1
Half,4.983333333,21.1
Half,4.966666667,21.1
Half,4.966666667,21.1
Half,4.983333333,21.1
Half,5,21.1
Half,5.016666667,21.1
Half,5,21.1
Half,5.016666667,21.1
Half,5.033333333,21.1
Half,5.033333333,21.1
Half,5.016666667,21.1
Half,5.033333333,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5,21.1
Half,5.066666667,21.1
Half,5.066666667,21.1
Half,5.066666667,21.1
Half,5.05,21.1
Half,5.066666667,21.1
Half,5.083333333,21.1
Half,5.1,21.1
Half,5.083333333,21.1
Half,5.116666667,21.1
Half,5.1,21.1
Half,5.116666667,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
